Title,Year,Rating,Duration (minutes),Rating Amount
Hit Man,2023,"7.0
 (50K)",115,50
Bad Boys: Ride or Die,2024,"7.0
 (23K)",115,23
Inside Out 2,2024,"8.0
 (30K)",96,30
Furiosa: A Mad Max Saga,2024,"7.8
 (89K)",148,89
Under Paris,2024,"5.2
 (20K)",104,20
The Watchers,2024,"5.8
 (8.1K)",102,8
The Fall Guy,2024,"7.0
 (106K)",126,106
Godzilla Minus One,2023,"7.8
 (123K)",124,123
Civil War,2024,"7.2
 (117K)",109,117
Inside Out,2015,"8.1
 (798K)",95,798
Dune: Part Two,2024,"8.6
 (455K)",166,455
Kingdom of the Planet of the Apes,2024,"7.2
 (54K)",145,54
The Strangers: Chapter 1,2024,"4.7
 (12K)",91,12
Munjya,2024,"7.4
 (13K)",123,13
Challengers,2024,"7.3
 (71K)",131,71
Deadpool & Wolverine,2024,,127,5
The Bikeriders,2023,"7.3
 (5.2K)",116,1
Mad Max: Fury Road,2015,"8.1
 (1.1M)",120,95
Anyone But You,2023,"6.1
 (95K)",103,37
The First Omen,2024,"6.5
 (37K)",119,18
IF,2024,"6.6
 (18K)",104,4
Am I OK?,2022,"6.1
 (4.6K)",86,3
Kinds of Kindness,2024,"7.0
 (3.2K)",164,46
The Ministry of Ungentlemanly Warfare,2024,"6.9
 (46K)",120,42
Atlas,2024,"5.6
 (42K)",118,76
Godzilla x Kong: The New Empire,2024,"6.2
 (76K)",115,179
Bad Boys for Life,2020,"6.5
 (179K)",124,292
MaXXXine,2024,,103,874
Alien: Romulus,2024,,0,8
Bad Boys,1995,"6.8
 (292K)",119,9
Horizon: An American Saga - Chapter 1,2024,"7.7
 (874)",181,2
The Garfield Movie,2024,"5.8
 (8.8K)",101,48
I Saw the TV Glow,2024,"6.1
 (9K)",100,757
Brats,2024,"6.7
 (2.7K)",92,45
Paddington in Peru,2024,,115,181
The Idea of You,2024,"6.4
 (48K)",180,47
Venom: The Last Dance,2024,,109,881
Oppenheimer,2023,"8.3
 (757K)",113,277
Abigail,2024,"6.6
 (45K)",127,3
Wonder,2017,"7.9
 (181K)",155,59
Presumed Innocent,1990,"6.9
 (47K)",141,75
Dune,2021,"8.0
 (881K)",110,129
Poor Things,2023,"7.9
 (277K)",94,179
Space Cadet,2024,,93,28
In a Violent Nature,2024,"6.2
 (3.4K)",132,94
Late Night with the Devil,2023,"7.0
 (59K)",157,309
The Iron Claw,2023,"7.6
 (75K)",105,23
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"6.7
 (129K)",104,13
X,2022,"6.5
 (179K)",104,711
Love Lies Bleeding,2024,"6.7
 (28K)",116,135
Practical Magic,1998,"6.3
 (94K)",142,20
Nocturnal Animals,2016,"7.5
 (309K)",92,72
Chandu Champion,2024,"8.5
 (23K)",130,271
Tarot,2024,"4.8
 (13K)",121,37
Top Gun: Maverick,2022,"8.2
 (711K)",122,364
Road House,2024,"6.2
 (135K)",100,17
Twisters,2024,,123,446
A Quiet Place: Day One,2024,,116,2
The Boys in the Boat,2023,"7.0
 (20K)",130,230
Madame Web,2024,"3.9
 (72K)",147,505
The Lord of the Rings: The War of the Rohirrim,2024,,163,95
Bad Boys II,2003,"6.6
 (271K)",99,52
Bade Miyan Chote Miyan,2024,"4.1
 (37K)",111,104
Wild Eyed and Wicked,2023,"3.5
 (364)",127,2
Boy Kills World,2023,"6.4
 (17K)",142,2
Bullet Train,2022,"7.3
 (446K)",130,4
The Shawshank Redemption,1994,"9.3
 (2.9M)",95,214
Dogma,1999,"7.3
 (230K)",102,53
Despicable Me 4,2024,"6.3
 (505)",115,2
Be Kind Rewind,2008,"6.4
 (95K)",101,47
Ghostbusters: Frozen Empire,2024,"6.1
 (52K)",105,1
Longlegs,2024,,178,3
The Beekeeper,2024,"6.4
 (104K)",169,857
The Lord of the Rings: The Fellowship of the Ring,2001,"8.9
 (2M)",111,2
Interstellar,2014,"8.7
 (2.1M)",131,27
Colors of Evil: Red,2024,"6.3
 (4.7K)",121,344
Saltburn,2023,"7.0
 (214K)",175,5
Monkey Man,2024,"6.9
 (53K)",110,550
The Godfather,1972,"9.2
 (2M)",189,229
St. Elmo's Fire,1985,"6.4
 (47K)",92,216
The Green Mile,1999,"8.6
 (1.4M)",161,1
Die Hart 2: Die Harter,2024,"4.2
 (3.5K)",113,2
Once Upon a Time... in Hollywood,2019,"7.6
 (857K)",97,102
Unsung Hero,2024,"7.2
 (2.5K)",92,1
Unfrosted,2024,"5.5
 (27K)",93,408
Beetlejuice,1988,"7.5
 (344K)",114,80
Winnie-the-Pooh: Blood and Honey 2,2024,"4.6
 (5.1K)",88,97
Barbie,2023,"6.8
 (550K)",113,60
Mad Max,1979,"6.8
 (229K)",142,25
