Title,Year,Rating,Duration (minutes)
Hit Man,2023,7.0,115
Bad Boys: Ride or Die,2024,7.0,115
Inside Out 2,2024,8.0,96
Furiosa: A Mad Max Saga,2024,7.8,148
Under Paris,2024,5.2,104
The Watchers,2024,5.8,102
The Fall Guy,2024,7.0,126
Godzilla Minus One,2023,7.8,124
Civil War,2024,7.2,109
Inside Out,2015,8.1,95
Dune: Part Two,2024,8.6,166
Kingdom of the Planet of the Apes,2024,7.2,145
The Strangers: Chapter 1,2024,4.7,91
Munjya,2024,7.6,123
Challengers,2024,7.3,131
Deadpool & Wolverine,2024,,127
The Bikeriders,2023,7.3,116
Mad Max: Fury Road,2015,8.1,120
Anyone But You,2023,6.1,103
The First Omen,2024,6.5,119
IF,2024,6.6,104
Am I OK?,2022,6.1,86
Kinds of Kindness,2024,7.0,164
The Ministry of Ungentlemanly Warfare,2024,6.9,120
Atlas,2024,5.6,118
Godzilla x Kong: The New Empire,2024,6.2,115
Bad Boys for Life,2020,6.5,124
MaXXXine,2024,,103
Alien: Romulus,2024,,0
Bad Boys,1995,6.8,119
Horizon: An American Saga - Chapter 1,2024,7.7,181
The Garfield Movie,2024,5.8,101
I Saw the TV Glow,2024,6.1,100
Brats,2024,6.8,92
Paddington in Peru,2024,,115
The Idea of You,2024,6.4,180
Venom: The Last Dance,2024,,109
Oppenheimer,2023,8.3,113
Abigail,2024,6.6,127
Wonder,2017,7.9,155
Presumed Innocent,1990,6.9,141
Dune,2021,8.0,110
Poor Things,2023,7.9,94
Space Cadet,2024,,93
In a Violent Nature,2024,6.2,132
Late Night with the Devil,2023,7.0,157
The Iron Claw,2023,7.6,105
The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.7,104
X,2022,6.5,104
Love Lies Bleeding,2024,6.7,116
Practical Magic,1998,6.3,142
Nocturnal Animals,2016,7.5,92
Chandu Champion,2024,8.6,130
Tarot,2024,4.8,121
Top Gun: Maverick,2022,8.2,122
Road House,2024,6.2,100
Twisters,2024,,123
A Quiet Place: Day One,2024,,116
The Boys in the Boat,2023,7.0,130
Madame Web,2024,3.9,147
The Lord of the Rings: The War of the Rohirrim,2024,,163
Bad Boys II,2003,6.6,99
Bade Miyan Chote Miyan,2024,4.2,111
Wild Eyed and Wicked,2023,3.5,127
Boy Kills World,2023,6.4,142
Bullet Train,2022,7.3,130
The Shawshank Redemption,1994,9.3,95
Dogma,1999,7.3,102
Despicable Me 4,2024,6.4,115
Be Kind Rewind,2008,6.4,101
Ghostbusters: Frozen Empire,2024,6.1,105
Longlegs,2024,,178
The Beekeeper,2024,6.4,169
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,111
Interstellar,2014,8.7,131
Colors of Evil: Red,2024,6.3,121
Saltburn,2023,7.0,175
Monkey Man,2024,6.9,110
The Godfather,1972,9.2,189
St. Elmo's Fire,1985,6.4,92
The Green Mile,1999,8.6,161
Die Hart 2: Die Harter,2024,4.2,113
Once Upon a Time... in Hollywood,2019,7.6,97
Unsung Hero,2024,7.2,92
Unfrosted,2024,5.5,93
Beetlejuice,1988,7.5,114
Winnie-the-Pooh: Blood and Honey 2,2024,4.7,88
Barbie,2023,6.8,113
Mad Max,1979,6.8,142
Twister,1996,6.5,154
The Hunger Games,2012,7.2,104
Beetlejuice Beetlejuice,2024,,194
Pulp Fiction,1994,8.9,113
Splice,2009,5.8,106
Titanic,1997,7.9,105
The Gentlemen,2019,7.8,117
Fright Night,1985,7.1,117
